year,month,day,Upwelling (m^2/s)
1987,   1,  12,0.7987
1987,   1,  13,5.8331
1987,   1,  14,2.4205
1987,   1,  15,1.7732
1987,   1,  16,1.8865
1987,   1,  17,0.2345
1987,   1,  18,0.2519
1987,   1,  19,1.0036
1987,   1,  20,0.5404
1987,   1,  21,0.2184
1987,   1,  22,0.2141
1987,   1,  23,0.5888
1987,   1,  24,1.1316
1987,   1,  25,0.8643
1987,   1,  26,0.2039
1987,   1,  27,0.2006
1987,   1,  28,0.6867
1987,   1,  29,0.8916
1987,   1,  30,0.4027
1987,   1,  31,2.8197
1987,   2,   1,0.5811
1987,   2,   2,0.2602
1987,   2,   3,0.7757
1987,   2,   4,0.3070
1987,   2,   5,0.0730
1987,   2,   6,-0.4389
1987,   2,   7,-0.4881
1987,   2,   8,-0.4685
1987,   2,   9,-1.3742
1987,   2,  10,-0.4236
1987,   2,  11,0.0282
1987,   2,  12,0.0092
1987,   2,  13,-0.1978
1987,   2,  14,0.9045
1987,   2,  15,0.9074
1987,   2,  16,3.8182
1987,   2,  17,2.1665
1987,   2,  18,2.1439
1987,   2,  19,0.7472
1987,   2,  20,0.1823
1987,   2,  21,0.7987
1987,   2,  22,0.3912
1987,   2,  23,3.0944
1987,   2,  24,0.3174
1987,   2,  25,0.0609
1987,   2,  26,0.4606
1987,   2,  27,0.5861
1987,   2,  28,0.3134
1987,   3,   1,0.1696
1987,   3,   2,0.0190
1987,   3,   3,-0.1598
1987,   3,   4,-0.6787
1987,   3,   5,-2.5074
1987,   3,   6,-0.5106
1987,   3,   7,0.8723
1987,   3,   8,0.6493
1987,   3,   9,1.0296
1987,   3,  10,0.5514
1987,   3,  11,-0.0630
1987,   3,  12,0.1292
1987,   3,  13,0.5063
1987,   3,  14,1.7467
1987,   3,  15,4.2690
1987,   3,  16,4.6565
1987,   3,  17,0.8508
1987,   3,  18,2.3879
1987,   3,  19,2.5199
1987,   3,  20,0.8978
1987,   3,  21,0.1887
1987,   3,  22,1.4082
1987,   3,  23,1.0981
1987,   3,  24,3.6445
1987,   3,  25,0.4842
1987,   3,  26,0.4779
1987,   3,  27,0.7840
1987,   3,  28,0.1143
1987,   3,  29,-0.1402
1987,   3,  30,-0.2730
1987,   3,  31,-0.0461
1987,   4,   1,-0.1085
1987,   4,   2,0.3805
1987,   4,   3,0.8353
1987,   4,   4,1.7341
1987,   4,   5,1.2294
1987,   4,   6,1.0170
1987,   4,   7,1.4095
1987,   4,   8,0.9660
1987,   4,   9,0.6560
1987,   4,  10,0.7147
1987,   4,  11,2.4152
1987,   4,  12,1.1389
1987,   4,  13,0.3215
1987,   4,  14,0.2582
1987,   4,  15,0.5091
1987,   4,  16,0.8433
1987,   4,  17,1.2732
1987,   4,  18,3.0119
1987,   4,  19,0.8390
1987,   4,  20,0.2713
1987,   4,  21,0.2834
1987,   4,  22,0.2156
1987,   4,  23,1.0118
1987,   4,  24,1.1592
1987,   4,  25,0.2096
1987,   4,  26,0.0570
1987,   4,  27,0.5802
1987,   4,  28,0.2632
1987,   4,  29,0.1780
1987,   4,  30,-0.0429
1987,   5,   1,1.4160
1987,   5,   2,2.5815
1987,   5,   3,0.8601
1987,   5,   4,0.9089
1987,   5,   5,0.8854
1987,   5,   6,0.3195
1987,   5,   7,0.1198
1987,   5,   8,-0.0048
1987,   5,   9,0.9792
1987,   5,  10,1.2435
1987,   5,  11,0.4700
1987,   5,  12,0.4950
1987,   5,  13,0.3326
1987,   5,  14,-0.0094
1987,   5,  15,-0.0542
1987,   5,  16,0.4410
1987,   5,  17,1.3492
1987,   5,  18,0.7349
1987,   5,  19,0.3153
1987,   5,  20,-0.0461
1987,   5,  21,0.2108
1987,   5,  22,1.4343
1987,   5,  23,1.1978
1987,   5,  24,1.7535
1987,   5,  25,2.8024
1987,   5,  26,2.0499
1987,   5,  27,1.8240
1987,   5,  28,1.7120
1987,   5,  29,1.3979
1987,   5,  30,1.2793
1987,   5,  31,1.1221
1987,   6,   1,0.6256
1987,   6,   2,-0.0416
1987,   6,   3,0.0795
1987,   6,   4,1.1276
1987,   6,   5,1.2460
1987,   6,   6,0.7612
1987,   6,   7,0.5580
1987,   6,   8,1.9225
1987,   6,   9,2.5530
1987,   6,  10,1.1230
1987,   6,  11,0.1641
1987,   6,  12,0.3463
1987,   6,  13,0.1143
1987,   6,  14,0.2999
1987,   6,  15,0.0216
1987,   6,  16,1.2256
1987,   6,  17,1.7372
1987,   6,  18,1.7443
1987,   6,  19,1.7941
1987,   6,  20,2.0982
1987,   6,  21,1.4862
1987,   6,  22,0.8979
1987,   6,  23,0.7639
1987,   6,  24,0.6347
1987,   6,  25,0.3125
1987,   6,  26,0.1509
