year,month,day,Upwelling (m^2/s)
1990,   9,  10,1.1921
1990,   9,  11,0.8577
1990,   9,  12,0.7428
1990,   9,  13,0.6115
1990,   9,  14,0.2747
1990,   9,  15,0.4751
1990,   9,  16,0.5217
1990,   9,  17,0.3710
1990,   9,  18,0.2068
1990,   9,  19,0.2102
1990,   9,  20,0.2065
1990,   9,  21,-0.3582
1990,   9,  22,-0.0518
1990,   9,  23,0.1219
1990,   9,  24,0.2251
1990,   9,  25,0.0409
1990,   9,  26,0.1230
1990,   9,  27,0.4831
1990,   9,  28,0.7020
1990,   9,  29,0.2644
1990,   9,  30,-0.0457
1990,  10,   1,0.2050
1990,  10,   2,1.4347
1990,  10,   3,0.8205
1990,  10,   4,-0.2087
1990,  10,   5,-0.0480
1990,  10,   6,0.6186
1990,  10,   7,0.6771
1990,  10,   8,0.4104
1990,  10,   9,0.0815
1990,  10,  10,0.3993
1990,  10,  11,0.5737
1990,  10,  12,0.7388
1990,  10,  13,1.4617
1990,  10,  14,0.9962
1990,  10,  15,1.0939
1990,  10,  16,0.7495
1990,  10,  17,0.4924
1990,  10,  18,0.0436
1990,  10,  19,0.7605
1990,  10,  20,0.6084
1990,  10,  21,0.4807
1990,  10,  22,0.8243
1990,  10,  23,0.7123
1990,  10,  24,0.6271
1990,  10,  25,0.7057
1990,  10,  26,0.7583
1990,  10,  27,0.6467
1990,  10,  28,0.5416
1990,  10,  29,0.5710
1990,  10,  30,0.1586
1990,  10,  31,0.1532
1990,  11,   1,1.5058
1990,  11,   2,1.2028
1990,  11,   3,0.4083
1990,  11,   4,0.1225
1990,  11,   5,1.1292
1990,  11,   6,1.5751
1990,  11,   7,0.4062
1990,  11,   8,0.3239
1990,  11,   9,0.7579
1990,  11,  10,0.4233
1990,  11,  11,-0.0241
1990,  11,  12,-0.0898
1990,  11,  13,0.1533
1990,  11,  14,0.3475
1990,  11,  15,0.4450
1990,  11,  16,0.0928
1990,  11,  17,0.5933
1990,  11,  18,0.4200
1990,  11,  19,0.1538
1990,  11,  20,1.7876
1990,  11,  21,-0.0729
1990,  11,  22,0.1075
1990,  11,  23,0.1245
1990,  11,  24,0.6960
1990,  11,  25,0.4565
1990,  11,  26,2.0818
1990,  11,  27,0.8171
1990,  11,  28,0.2051
1990,  11,  29,-0.2282
1990,  11,  30,0.8184
1990,  12,   1,1.2226
1990,  12,   2,0.7781
1990,  12,   3,0.1214
1990,  12,   4,0.0643
1990,  12,   5,0.6639
1990,  12,   6,0.2729
1990,  12,   7,-0.1325
1990,  12,   8,-0.1205
1990,  12,   9,-0.0520
1990,  12,  10,-0.0210
1990,  12,  11,0.1623
1990,  12,  12,0.3978
1990,  12,  13,0.9206
1990,  12,  14,0.3876
1990,  12,  15,0.3607
1990,  12,  16,0.2739
1990,  12,  17,0.5235
1990,  12,  18,0.9351
1990,  12,  19,2.1236
1990,  12,  20,1.7303
1990,  12,  21,1.3105
1990,  12,  22,-0.1314
1990,  12,  23,-0.4587
1990,  12,  24,-0.7024
1990,  12,  25,-0.1334
1990,  12,  26,0.1919
1990,  12,  27,0.0810
1990,  12,  28,1.4838
1990,  12,  29,0.9263
1990,  12,  30,-0.2288
1990,  12,  31,-0.2029
1991,   1,   1,-0.1428
1991,   1,   2,-0.2420
1991,   1,   3,-0.0745
1991,   1,   4,0.0122
1991,   1,   5,0.1404
1991,   1,   6,0.0534
1991,   1,   7,-0.5331
1991,   1,   8,-0.0106
1991,   1,   9,-0.5819
1991,   1,  10,0.0155
1991,   1,  11,0.0650
1991,   1,  12,0.0454
1991,   1,  13,0.6741
1991,   1,  14,0.7553
1991,   1,  15,1.1156
1991,   1,  16,1.2535
1991,   1,  17,-0.0112
1991,   1,  18,-0.0224
1991,   1,  19,0.3599
1991,   1,  20,0.1836
1991,   1,  21,0.1770
1991,   1,  22,0.2395
1991,   1,  23,0.1913
1991,   1,  24,0.0826
1991,   1,  25,-0.1198
1991,   1,  26,-0.0591
1991,   1,  27,0.3796
1991,   1,  28,0.6541
1991,   1,  29,0.4302
1991,   1,  30,-0.1106
1991,   1,  31,-0.1690
1991,   2,   1,-0.1842
1991,   2,   2,-1.1807
1991,   2,   3,-0.2200
1991,   2,   4,-0.0869
1991,   2,   5,0.4496
1991,   2,   6,0.4234
1991,   2,   7,-0.0294
1991,   2,   8,0.1711
1991,   2,   9,0.2296
1991,   2,  10,0.2718
1991,   2,  11,0.5157
1991,   2,  12,0.7413
1991,   2,  13,0.8973
1991,   2,  14,0.4922
1991,   2,  15,0.7472
1991,   2,  16,1.3882
1991,   2,  17,1.2607
1991,   2,  18,1.6600
1991,   2,  19,0.7779
1991,   2,  20,0.2978
1991,   2,  21,0.0371
1991,   2,  22,0.2698
